2018-11-20 06:24:45.0201 Info Loading Cardigann definition /app/Jackett/Definitions/eztv.yml 
2018-11-20 06:24:45.0410 Info Loading Cardigann definition /app/Jackett/Definitions/fanoin.yml 
2018-11-20 06:24:45.0663 Info Loading Cardigann definition /app/Jackett/Definitions/femdomcult.yml 
2018-11-20 06:24:45.0830 Info Loading Cardigann definition /app/Jackett/Definitions/freedomhd.yml 
2018-11-20 06:24:45.1016 Info Loading Cardigann definition /app/Jackett/Definitions/frozenlayer.yml 
2018-11-20 06:24:45.1200 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2018-11-20 06:24:45.1341 Info Loading Cardigann definition /app/Jackett/Definitions/funkytorrents.yml 
2018-11-20 06:24:45.1585 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrents.yml 
2018-11-20 06:24:45.1823 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrentsorg.yml 
2018-11-20 06:24:45.2029 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2018-11-20 06:24:45.2250 Info Loading Cardigann definition /app/Jackett/Definitions/gfxnews.yml 
2018-11-20 06:24:45.2713 Info Loading Cardigann definition /app/Jackett/Definitions/gfxpeers.yml 
2018-11-20 06:24:45.2914 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2018-11-20 06:24:45.3169 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2018-11-20 06:24:45.3474 Info Loading Cardigann definition /app/Jackett/Definitions/gktorrent.yml 
2018-11-20 06:24:45.3653 Info Loading Cardigann definition /app/Jackett/Definitions/gods.yml 
2018-11-20 06:24:45.3929 Info Loading Cardigann definition /app/Jackett/Definitions/greekteam.yml 
2018-11-20 06:24:45.4183 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
2018-11-20 06:24:45.4418 Info Loading Cardigann definition /app/Jackett/Definitions/hd4free.yml 
2018-11-20 06:24:45.4630 Info Loading Cardigann definition /app/Jackett/Definitions/hdbits.yml 
2018-11-20 06:24:45.4823 Info Loading Cardigann definition /app/Jackett/Definitions/hdbitscom.yml 
2018-11-20 06:24:45.4995 Info Loading Cardigann definition /app/Jackett/Definitions/hdcenter.yml 
2018-11-20 06:24:45.5222 Info Loading Cardigann definition /app/Jackett/Definitions/hdchina.yml 
2018-11-20 06:24:45.5473 Info Loading Cardigann definition /app/Jackett/Definitions/hdcity.yml 
2018-11-20 06:24:45.5802 Info Loading Cardigann definition /app/Jackett/Definitions/hdhome.yml 
2018-11-20 06:24:45.6034 Info Loading Cardigann definition /app/Jackett/Definitions/hdme.yml 
2018-11-20 06:24:45.6226 Info Loading Cardigann definition /app/Jackett/Definitions/hdsky.yml 
2018-11-20 06:24:45.6409 Info Loading Cardigann definition /app/Jackett/Definitions/hdspain.yml 
2018-11-20 06:24:45.6642 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2018-11-20 06:24:45.6835 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd.yml 
2018-11-20 06:24:45.7059 Info Loading Cardigann definition /app/Jackett/Definitions/hqsource.yml 
2018-11-20 06:24:45.7259 Info Loading Cardigann definition /app/Jackett/Definitions/hyperay.yml 
2018-11-20 06:24:45.7421 Info Loading Cardigann definition /app/Jackett/Definitions/icetorrent.yml 
2018-11-20 06:24:45.7671 Info Loading Cardigann definition /app/Jackett/Definitions/idopeclone.yml 
2018-11-20 06:24:45.7827 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2018-11-20 06:24:45.8109 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaronero.yml 
2018-11-20 06:24:45.8329 Info Loading Cardigann definition /app/Jackett/Definitions/iloveclassics.yml 
2018-11-20 06:24:45.8461 Info Loading Cardigann definition /app/Jackett/Definitions/inperil.yml 
2018-11-20 06:24:45.8693 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2018-11-20 06:24:45.8870 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2018-11-20 06:24:45.9043 Info Loading Cardigann definition /app/Jackett/Definitions/jpopsuki.yml 
2018-11-20 06:24:45.9272 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2018-11-20 06:24:45.9507 Info Loading Cardigann definition /app/Jackett/Definitions/karagarga.yml 
2018-11-20 06:24:45.9751 Info Loading Cardigann definition /app/Jackett/Definitions/katcrs.yml 
2018-11-20 06:24:45.9905 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent-kathow.yml 
2018-11-20 06:24:46.0011 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2018-11-20 06:24:46.0344 Info Loading Cardigann definition /app/Jackett/Definitions/kinozal.yml 
2018-11-20 06:24:46.0577 Info Loading Cardigann definition /app/Jackett/Definitions/limetorrents.yml 
2018-11-20 06:24:46.0755 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
2018-11-20 06:24:46.1014 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2018-11-20 06:24:46.1223 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2018-11-20 06:24:46.1602 Info Loading Cardigann definition /app/Jackett/Definitions/magnetdl.yml 
2018-11-20 06:24:46.1757 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2018-11-20 06:24:46.2008 Info Loading Cardigann definition /app/Jackett/Definitions/manicomioshare.yml 
2018-11-20 06:24:46.2413 Info Loading Cardigann definition /app/Jackett/Definitions/megabliz.yml 
2018-11-20 06:24:46.2595 Info Loading Cardigann definition /app/Jackett/Definitions/metal-iplay-ro.yml 
2018-11-20 06:24:46.2792 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
2018-11-20 06:24:46.2946 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2018-11-20 06:24:46.3098 Info Loading Cardigann definition /app/Jackett/Definitions/mteamtp.yml 
2018-11-20 06:24:46.3334 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2018-11-20 06:24:46.3533 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupmain.yml 
2018-11-20 06:24:46.3702 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2018-11-20 06:24:46.3863 Info Loading Cardigann definition /app/Jackett/Definitions/nethd.yml 
2018-11-20 06:24:46.4114 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
